Preferred Name,Birth Year
Joseph Smith,1805
Brigham Young,1801
John Taylor,1808
Wilford Woodruff,1807
Lorenzo Snow,1814
Joseph F. Smith,1838
Heber J. Grant,1856
David O. McKay,1873
Joseph Fielding Smith,1876
Harold B. Lee,1899
Spencer W. Kimball,1895
Ezra Taft Benson,1899
Howard W. Hunter,1907
Gordon B. Hinckley,1910
Thomas S. Monson,1927
Russell M. Nelson,1924
Dallin H. Oaks,1932
M. Russell Ballard,1928
Jeffrey R. Holland,1940
Henry B. Eyring,1933
Dieter F. Uchtdorf,1940
Neil L. Andersen,1951
Boyd K. Packer,1924
Bruce R. McConkie,1915
James E. Talmage,1862
Joseph B. Wirthlin,1917
LeGrand Richards,1886
Neal A. Maxwell,1926
Richard G. Scott,1928
David A. Bednar,1952
Quentin L. Cook,1940
D. Todd Christofferson,1945
Robert D. Hales,1932
Bradley Wilcox,1960
